"Party","Parent Category","Category","Gas","Unit","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Year_2017"
"Romania","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",289617.39616071247,229150.8746123621,186087.12465193262,171138.47542498593,160986.27658612662,159862.2577796788,167347.24889101408,170734.5653605236,166806.41058947158,145460.8356109955,127026.90063305829,122214.48878079184,124346.34642128905,129109.99147304312,133623.38456923884,132669.87635150328,130446.21176317094,131623.07280819459,133439.58849876665,129483.38275212991,109559.9392831355,103186.8404325187,109752.53837663638,105093.61045676637,94987.13895208968,93991.94101010919,94532.76945766248,91167.19037757452,92115.91506938297
"Russian Federation","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",3113394.021515165,3113394.021515165,2972733.6339155207,2464024.049844416,2317233.801217638,1967985.0947893895,1834118.2468295994,1712685.2848149145,1519193.1081811362,1401605.3236822118,1412979.134449292,1388351.4353756602,1372624.804301445,1329166.577050207,1347402.6705228533,1404964.3814031053,1430042.188044221,1498152.443982608,1482812.7936121186,1452559.9013563553,1268591.671785135,1330617.6727928873,1441644.5073819717,1478638.6719571173,1434326.45789222,1466044.48049198,1492639.2040273466,1480903.279121183,1577767.015589719
"Slovakia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",63661.05566635123,63661.05566635123,53568.952526245484,47556.36908801596,44263.82444277885,42334.65214481911,43383.05812367364,43432.03646852826,43399.632724933035,41821.18780659704,41272.40257654311,39302.67992945125,42342.71672227676,40461.5015413443,41187.85041594868,41866.23498373063,45423.06616433485,42453.042336612976,41087.945893033575,42558.45678976211,38511.99890957772,40147.59863890549,39076.68583144074,35631.4539025507,34630.780679264906,34540.83511627026,35028.005597007694,35431.735207258396,36732.06271889118
"Slovenia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",15564.710319775495,14176.733555352777,14357.48737968218,14470.213334035845,14692.324437668021,14912.045325106192,15515.51797182731,15406.69994860131,15760.85993644121,15379.841260639017,14700.952733761802,14837.280666566287,14695.649344696869,14746.026677710814,12761.840528038707,12907.34786590287,13173.333933295797,13376.401164041094,13185.497544920167,15065.250216737413,13150.451660120323,13232.253124488525,13343.208245781685,12854.503017413454,12045.517806174246,11481.256168529746,12904.506475975479,15277.614331069544,15929.197110850217
"Spain","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",252617.06773480133,252617.06773480133,261116.43672129617,271616.73801061406,261068.44212241378,279858.61997461406,294036.49125098635,285060.4413027611,299895.40966760996,309391.38085031346,333702.2739410654,348004.8889728548,344654.2448491928,364485.7609589261,372299.79416160943,387977.67685284605,402837.43539727846,393729.923245379,405641.1029438574,373746.14846045984,336952.87341322185,320257.274291942,319929.16366082674,315211.7763648504,289025.36072605936,289663.7373115159,298871.970431562,288154.1923952672,301903.06485136173
"Sweden","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",36908.06181511301,36908.06181511301,37788.4000913247,37235.660604079945,42423.478549098465,40842.57502393247,42162.69082796172,38301.52288156665,36202.801251466386,34629.824505531644,34267.637011031475,31887.622370411937,27077.253459116513,30240.073581040946,34133.50934569222,35898.01627654507,35136.68116757929,30764.05421935008,26648.422179493315,24215.989357592975,18954.909936822554,20335.51605104486,22921.487076835365,14474.117146599083,15802.429861736762,12684.560627401775,8005.378050931888,8405.06100966163,8932.827352097185
"Switzerland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",50767.16312240617,50767.16312240617,48827.07635062378,49857.24422054249,47956.19529618048,48134.434177630515,48353.89489868415,46338.17372151937,47378.88223680108,50205.61834101527,49461.73051138207,57921.44301343581,52850.95344098169,49481.74481059776,49674.889439306666,50694.9942814987,52223.33243818187,52731.964195733584,51957.874595813744,51593.007554157215,49440.68803135193,51498.02873817125,48608.406665735405,49589.13227450422,50160.60545741055,47704.946470575975,45630.01286272665,46067.455858515495,45561.384331770285
"Turkey","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",163437.02747289103,163437.02747289103,169851.36151941674,175944.76340101816,184087.95129019834,176674.20260210047,190185.2103915454,209509.24042655012,216913.21355314922,217661.4833820857,213716.08189546663,237333.88669672742,215694.32502444996,213586.08512142484,231048.26614790995,241256.15887155576,262519.4048091194,283438.634493781,316986.6283791233,318380.230080107,322668.2749216669,325168.72367221187,350457.0885167951,372533.77839347196,362492.74436520063,380452.3930899514,374984.45512924326,402539.0889650071,426345.4971320606
"Ukraine","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",879311.1455597703,879311.1455597703,788788.3034269434,736853.2722670735,653679.9687191679,542861.613456211,505075.60083240253,463559.583320131,451271.67970118235,427851.16422374354,394779.07536211394,379880.5133765044,403282.4897517322,390219.963498311,393932.31271867343,408018.5630758883,410741.45724331186,424037.09029022657,425446.8640277599,427985.38736528537,364793.735865501,375758.2380168773,412734.9558655251,396562.349369799,400703.2700011101,356350.20736664423,310489.87282316096,333283.56614240207,310271.39801460755
"United Kingdom of Great Britain and Northern Ireland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",798203.3495257298,798203.3495257298,806809.8038833084,785153.51368479,765434.4786601408,756293.8911855782,749561.0342501961,770728.5666154597,744713.7070413937,742647.7304453505,712552.7031257896,711812.4644694617,714076.413184842,693601.4422050734,700333.1913951642,696261.7859091721,688050.1431164114,680343.1534920703,668038.5975506416,647108.6939424545,591079.1177303798,605250.8642582004,557586.0211622741,574648.7740450938,560559.553720007,519938.083370483,502268.32419287704,477236.10478711734,464453.4374074163
"United States of America","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",5563986.467814543,5563986.467814543,5498537.179532962,5631390.737067239,5758179.676345533,5822571.051436832,5956968.759431244,6120837.602280632,6200933.8709486425,6266860.362566512,6313554.899917515,6464573.030272932,6394679.842483397,6434598.314738516,6570141.437205214,6665023.540626014,6599005.620382877,6531849.41958225,6670236.9694768,6506376.5585654825,6024079.141423242,6269233.152734152,6055842.599027137,5819867.592613919,5996757.880533845,6089976.917877725,5912718.303785963,5769653.508405472,5742622.75372447
